#time env_conditions mean_num_genes STD_of_num_genes num_of_cells res_in_cells res_in_Env mean_age STD_age Shannon_index born killed Envelope_mean Envelope_STD
0 0 50.3539 5.67899 1537 499820 180.439 0 0 11.2567 0 0 0.549719 0.0384565
50 0.0508637 48.0139 5.04751 937 437744 62255.7 46.6403 11.5608 10.6199 4 5 0.546365 0.0387526
100 -0.724177 46.6877 4.57231 1095 499381 619.172 71.326 36.0687 10.3322 8 5 0.542115 0.0380276
150 0.554793 45.8093 4.26563 1070 499481 519.417 94.285 52.9878 10.072 6 7 0.541673 0.0365093
200 -0.241032 45.0553 3.92958 1085 499411 589.001 107.574 70.6715 9.82858 8 10 0.540608 0.0360367
250 -0.752519 44.3062 3.54169 1107 499472 527.964 119.771 84.4655 9.62453 9 3 0.538022 0.0342699
300 0.181432 43.7285 3.23727 1072 499561 438.868 132.365 94.9099 9.39791 2 4 0.537576 0.0335805
350 -0.470234 43.2836 2.98716 1093 499339 661.007 135.593 106.662 9.20128 5 10 0.537942 0.0325015
400 -0.579173 43.0471 2.8999 1082 499440 559.984 140.46 116.347 9.05833 7 9 0.538952 0.0327099
450 -0.578063 42.5718 2.6788 1086 499447 553.143 144.221 122.233 8.84619 7 8 0.538758 0.0318655
500 0.479767 42.2532 2.42951 1082 499477 523.113 146.44 124.415 8.67076 4 8 0.539589 0.0306851
550 0.161375 42.0643 2.2932 1104 499496 503.64 149.421 131.882 8.50689 10 6 0.541459 0.0296289
600 -0.810178 41.9452 2.10377 1076 499436 563.867 148.44 135.088 8.37363 14 12 0.542527 0.0290287
650 0.586945 41.6838 1.99762 1072 499429 571.304 153.027 137.272 8.21313 5 12 0.543168 0.0280771
700 -0.0558545 41.4836 1.91979 1096 499454 545.592 150.614 140.644 8.01478 5 7 0.545175 0.0272015
750 0.109125 41.3293 1.87748 1087 499450 550.256 147.305 140.16 7.83675 11 9 0.546145 0.026041
800 0.317297 41.1599 1.83801 1088 499457 542.965 147.097 142.607 7.70001 7 8 0.547526 0.0263464
850 -0.0710141 40.9345 1.7844 1084 499545 455.041 148.415 142.936 7.57623 5 10 0.547174 0.0258817
900 -0.376614 40.7336 1.74849 1085 499445 555.249 149.397 138.384 7.44548 5 11 0.54848 0.025858
950 0.148243 40.6172 1.75617 1084 499469 531.468 158.284 141.476 7.36492 5 7 0.549032 0.0251218
1000 0.667809 40.5046 1.73017 1080 499472 528.117 157.453 147.687 7.29757 8 10 0.549957 0.0246752
1050 -0.932848 40.3687 1.73715 1074 499497 503.04 153.393 148.685 7.19042 10 5 0.550541 0.0248386
1100 0.503977 40.2606 1.76644 1090 499452 547.815 150.717 147.233 7.09214 13 5 0.551968 0.0240942
1150 0.467332 40.1505 1.76163 1096 499416 583.626 148.334 151.601 6.96696 13 5 0.553681 0.0232461
1200 -0.137713 39.964 1.73488 1082 499517 482.876 150.559 148.502 6.87101 11 12 0.553518 0.022138
1250 0.0204386 39.786 1.71744 1089 499498 502.282 150.491 147.321 6.70856 8 6 0.554401 0.0221221
1300 -0.516409 39.6798 1.74216 1090 499430 570.158 147.845 145.385 6.67467 5 11 0.554823 0.021636
1350 -0.302337 39.4755 1.74965 1100 499527 473.214 144.428 139.85 6.49277 11 7 0.556417 0.0214395
1400 0.679699 39.416 1.72271 1072 499465 535.017 150.782 141.544 6.41893 7 8 0.556591 0.0208574
