# cumulative number of mutations
# OwnTag PoinMutations Duplications Deletions HGT_accepted
15908 3 4 3 0
14895 1 3 3 0
13527 1 0 2 0
13893 0 3 3 0
14583 1 0 3 0
15465 4 1 5 0
15552 5 1 2 0
15936 1 1 7 0
11570 1 0 2 0
16199 2 0 2 0
15862 2 2 0 0
11785 0 0 1 0
15728 3 2 3 0
15953 2 1 1 0
15269 1 0 3 0
11544 0 2 1 0
14988 3 0 3 0
13899 2 0 3 0
15070 1 1 2 0
15163 2 0 3 0
15012 2 0 2 0
15708 1 2 4 0
14383 0 0 4 0
16127 2 1 3 0
12620 1 0 4 0
16190 3 0 5 0
15933 2 0 5 0
16120 2 2 6 0
14901 1 3 3 0
14495 1 1 3 0
16024 1 2 2 0
10213 0 0 2 0
16254 2 3 4 0
14045 1 0 4 0
15001 0 2 5 0
12928 2 0 3 0
15331 0 2 4 0
12885 1 0 2 0
14070 0 1 3 0
11395 0 0 3 0
15876 5 2 4 0
16186 1 0 5 0
15745 2 0 5 0
12620 1 0 4 0
14627 1 0 4 0
15899 1 0 5 0
15629 3 1 5 0
15889 2 1 3 0
15100 1 0 3 0
16220 3 3 5 0
15402 2 2 4 0
15637 2 0 4 0
14705 1 0 3 0
15393 1 0 1 0
16097 2 1 7 0
15998 1 3 3 0
15470 3 1 1 0
15726 1 0 5 0
15461 2 1 3 0
15653 1 0 3 0
10169 0 0 1 0
10169 0 0 1 0
14403 2 0 4 0
15462 1 2 3 0
15588 0 2 3 0
16174 0 1 5 0
13303 0 0 1 0
15874 1 1 4 0
15886 2 1 5 0
15796 0 2 5 0
11395 0 0 3 0
14672 1 0 6 0
15777 0 2 2 0
16061 2 2 2 0
15574 1 0 2 0
15271 1 0 8 0
15971 2 0 2 0
11968 0 0 3 0
15703 2 1 3 0
15011 2 1 4 0
12928 2 0 3 0
16129 1 1 2 0
14620 1 1 3 0
15890 1 1 4 0
13613 1 0 4 0
16096 0 3 3 0
12196 1 0 1 0
14898 0 1 3 0
13416 2 2 4 0
14190 2 0 2 0
16058 1 1 4 0
11395 0 0 3 0
16104 1 0 4 0
16166 2 1 3 0
15769 2 0 3 0
12928 2 0 3 0
14070 0 1 3 0
15863 2 0 3 0
14595 1 1 0 0
16080 3 1 2 0
15670 1 1 4 0
14350 0 0 5 0
16111 0 1 1 0
14819 0 1 6 0
15647 3 0 3 0
15014 1 0 7 0
16236 1 0 3 0
14333 1 0 5 0
15919 1 3 2 0
15798 2 1 3 0
14937 2 1 3 0
15378 3 0 6 0
13863 0 1 4 0
15682 1 1 4 0
14179 2 0 1 0
13697 1 1 4 0
12935 1 0 2 0
14451 1 1 3 0
15562 2 0 3 0
15723 1 1 3 0
11785 0 0 1 0
16013 2 0 4 0
14132 0 1 3 0
15982 1 1 4 0
14952 0 0 6 0
14794 1 1 5 0
16144 3 1 4 0
11775 1 0 2 0
16248 1 2 3 0
15644 1 1 6 0
14812 1 0 4 0
14103 0 1 2 0
15683 0 2 3 0
15599 1 0 3 0
15052 0 0 4 0
15665 2 0 4 0
15440 1 0 6 0
12478 3 1 1 0
13040 2 0 3 0
16109 0 1 7 0
15799 5 1 2 0
13217 1 0 3 0
15209 1 0 7 0
15457 1 2 3 0
15738 2 1 4 0
15607 3 0 3 0
15948 1 0 8 0
14211 0 1 3 0
14829 1 0 1 0
15046 1 1 2 0
15191 2 0 4 0
15725 2 0 3 0
16105 0 0 2 0
15478 1 2 6 0
15481 1 1 6 0
16159 3 1 6 0
12620 1 0 4 0
13593 1 0 1 0
15897 2 1 7 0
11395 0 0 3 0
10213 0 0 2 0
16131 4 0 5 0
12670 1 0 4 0
15746 1 0 2 0
15493 1 1 2 0
15820 2 2 4 0
14916 1 0 3 0
16257 3 1 3 0
12579 1 0 3 0
12313 1 0 3 0
15520 3 2 3 0
12189 1 0 2 0
16033 0 1 6 0
14966 1 3 6 0
15821 1 3 4 0
15534 4 0 1 0
13040 2 0 3 0
14752 2 3 2 0
15541 3 1 2 0
15331 0 2 4 0
15542 1 1 3 0
15854 0 1 3 0
15313 0 1 3 0
16215 0 4 1 0
16008 2 0 4 0
13062 0 0 3 0
11968 0 0 3 0
13088 1 0 3 0
16003 1 0 2 0
15891 1 2 4 0
15561 0 2 3 0
13957 2 1 4 0
14573 2 0 5 0
15567 3 2 4 0
15865 2 0 3 0
16106 3 0 4 0
16201 2 0 4 0
14837 1 0 5 0
16163 3 1 4 0
15571 0 1 4 0
14136 1 0 3 0
14333 1 0 5 0
13280 0 1 2 0
15576 1 0 2 0
16146 1 2 4 0
15581 1 1 3 0
15148 3 0 4 0
14695 2 0 4 0
15447 0 0 4 0
16040 2 0 6 0
14403 2 0 4 0
13127 1 0 2 0
11710 0 0 4 0
15089 0 1 2 0
14927 1 1 3 0
15271 1 0 8 0
15282 0 3 2 0
15602 0 2 3 0
12670 1 0 4 0
14619 0 1 1 0
13292 3 2 3 0
15151 3 0 4 0
15338 2 0 2 0
15923 0 1 4 0
15848 1 0 2 0
15613 1 2 5 0
15302 0 0 3 0
14672 1 0 6 0
14770 1 0 2 0
15616 1 2 4 0
15618 1 1 3 0
14157 1 0 1 0
15238 0 0 3 0
15868 0 0 4 0
14519 1 0 6 0
14766 1 0 3 0
15633 1 0 1 0
14001 1 0 2 0
15639 2 1 2 0
13892 2 2 4 0
15203 1 0 6 0
15261 4 1 2 0
11786 1 1 3 0
13062 0 0 3 0
16149 1 0 5 0
13767 0 0 2 0
12935 1 0 2 0
16075 2 1 4 0
13863 0 1 4 0
15036 3 1 5 0
12670 1 0 4 0
15872 1 2 6 0
14702 1 0 5 0
16090 0 1 5 0
16167 2 0 5 0
15964 0 1 4 0
15440 1 0 6 0
16216 2 1 5 0
11645 1 0 2 0
16249 2 0 3 0
12670 1 0 4 0
15491 1 0 5 0
15689 1 1 4 0
16255 3 0 5 0
15691 1 2 3 0
15692 2 1 5 0
16094 3 2 3 0
16045 1 0 4 0
15694 3 1 2 0
13399 1 1 3 0
16242 2 1 3 0
15698 0 1 1 0
12928 2 0 3 0
16132 1 1 8 0
12670 1 0 4 0
11775 1 0 2 0
15430 2 1 3 0
15070 1 1 2 0
14811 1 0 4 0
14333 1 0 5 0
14543 2 1 4 0
15408 1 2 3 0
14966 1 3 6 0
15900 0 0 2 0
15904 1 0 4 0
15499 1 0 5 0
16194 2 1 4 0
15715 1 1 4 0
15718 2 1 2 0
14898 0 1 3 0
16059 1 0 9 0
15727 1 2 3 0
13863 0 1 4 0
12935 1 0 2 0
14844 3 2 1 0
15945 2 0 2 0
15123 2 0 4 0
16203 2 0 2 0
13756 1 0 3 0
14800 1 1 4 0
16053 1 0 7 0
11710 0 0 4 0
14837 1 0 5 0
15451 1 0 3 0
10128 0 0 2 0
12984 2 1 3 0
15123 2 0 4 0
15000 1 0 4 0
16021 1 0 4 0
15917 1 3 4 0
15118 0 1 2 0
14829 1 0 1 0
10734 0 0 1 0
15205 2 2 3 0
15757 2 0 6 0
11968 0 0 3 0
14752 2 3 2 0
13560 1 1 4 0
14702 1 0 5 0
16202 2 1 2 0
14832 2 1 3 0
15138 1 2 1 0
14249 0 0 6 0
15444 1 0 2 0
15766 0 2 3 0
14884 2 0 4 0
11395 0 0 3 0
15905 2 0 4 0
11710 0 0 4 0
14700 2 0 3 0
14493 1 0 2 0
15541 3 1 2 0
15238 0 0 3 0
12189 1 0 2 0
13149 0 0 5 0
15146 1 1 6 0
15493 1 1 2 0
14604 1 1 3 0
15564 1 2 3 0
16076 1 0 2 0
13892 2 2 4 0
14897 1 1 3 0
14333 1 0 5 0
10213 0 0 2 0
11179 0 1 2 0
15659 2 0 2 0
14412 0 0 3 0
15452 5 0 2 0
14360 1 1 1 0
14229 0 0 3 0
15808 2 0 4 0
14892 0 2 3 0
15812 1 0 5 0
15813 0 1 2 0
15008 1 0 4 0
13040 2 0 3 0
14937 2 1 3 0
13388 0 1 3 0
13893 0 3 3 0
15261 4 1 2 0
14076 0 1 3 0
15819 3 0 4 0
15222 2 1 4 0
15822 0 0 4 0
15592 0 0 5 0
15163 2 0 3 0
15175 1 1 4 0
14573 2 0 5 0
15265 0 1 2 0
10169 0 0 1 0
15393 1 0 1 0
15600 2 1 3 0
16007 0 1 3 0
15832 1 1 4 0
16247 3 2 3 0
15835 2 0 4 0
15837 2 3 3 0
16078 2 2 4 0
13280 0 1 2 0
13697 1 1 4 0
15840 0 0 2 0
15847 1 2 4 0
15850 3 2 6 0
15279 0 1 4 0
16029 0 2 4 0
16012 0 1 3 0
15419 5 0 2 0
15358 2 2 3 0
14519 1 0 6 0
16036 1 1 7 0
14975 1 0 2 0
15861 1 0 6 0
16225 2 1 2 0
15338 2 0 2 0
14157 1 0 1 0
16083 1 0 4 0
16048 2 0 1 0
13863 0 1 4 0
16038 0 0 4 0
16230 2 3 1 0
15670 1 1 4 0
14794 1 1 5 0
16030 2 1 6 0
14070 0 1 3 0
16093 2 1 4 0
14935 2 0 4 0
16050 1 2 4 0
16101 2 1 4 0
16153 0 0 1 0
13149 0 0 5 0
15296 2 1 3 0
14316 1 0 4 0
16102 1 1 4 0
16170 0 3 5 0
15587 4 0 4 0
13697 1 1 4 0
16187 1 1 4 0
11968 0 0 3 0
16088 0 0 4 0
16142 5 1 3 0
14047 1 1 4 0
13062 0 0 3 0
14966 1 3 6 0
11775 1 0 2 0
14045 1 0 4 0
12670 1 0 4 0
15892 2 2 3 0
15893 2 0 5 0
15894 3 3 1 0
11019 0 0 2 0
13613 1 0 4 0
13217 1 0 3 0
13040 2 0 3 0
15759 3 1 3 0
15700 1 1 7 0
16103 1 1 5 0
15160 2 0 7 0
15483 2 1 6 0
16217 0 2 4 0
15723 1 1 3 0
11775 1 0 2 0
16042 3 0 5 0
14702 1 0 5 0
13648 1 1 3 0
13040 2 0 3 0
14812 1 0 4 0
10213 0 0 2 0
11968 0 0 3 0
15633 1 0 1 0
14734 2 2 3 0
15142 1 0 4 0
15922 1 1 3 0
15927 2 0 4 0
15928 3 0 8 0
16176 4 2 2 0
14864 0 3 4 0
14884 2 0 4 0
16074 0 1 4 0
16243 3 0 4 0
12512 1 0 2 0
15935 2 0 4 0
16210 1 1 5 0
14735 1 0 7 0
13981 1 0 1 0
14752 2 3 2 0
16184 1 0 2 0
14572 1 0 5 0
15938 3 2 4 0
15440 1 0 6 0
15132 1 0 5 0
14076 0 1 3 0
15708 1 2 4 0
15630 0 1 2 0
13418 2 0 1 0
14316 1 0 4 0
15008 1 0 4 0
14819 0 1 6 0
15940 1 1 3 0
14044 2 0 4 0
11570 1 0 2 0
16123 3 1 4 0
15569 1 1 2 0
15665 2 0 4 0
15690 3 0 5 0
16161 1 1 4 0
15360 2 1 6 0
14672 1 0 6 0
16134 2 0 4 0
14333 1 0 5 0
16117 1 0 6 0
15616 1 2 4 0
14543 2 1 4 0
12189 1 0 2 0
15676 1 0 7 0
15950 0 2 3 0
16185 3 1 1 0
15541 3 1 2 0
13612 1 0 1 0
15053 1 1 2 0
15955 0 0 2 0
15848 1 0 2 0
16113 2 0 8 0
11179 0 1 2 0
12189 1 0 2 0
13088 1 0 3 0
14325 1 0 2 0
15447 0 0 4 0
15787 0 1 6 0
16239 1 1 4 0
16204 1 2 5 0
11925 1 0 2 0
14801 1 1 2 0
15962 0 0 6 0
15175 1 1 4 0
12189 1 0 2 0
15001 0 2 5 0
13040 2 0 3 0
16182 1 1 3 0
14155 0 1 3 0
13388 0 1 3 0
11710 0 0 4 0
15967 2 1 3 0
15143 0 1 3 0
12189 1 0 2 0
13648 1 1 3 0
15969 2 2 3 0
16218 3 2 2 0
13292 3 2 3 0
13388 0 1 3 0
15974 1 2 4 0
15008 1 0 4 0
15163 2 0 3 0
14534 1 1 3 0
14937 2 1 3 0
13863 0 1 4 0
15408 1 2 3 0
15017 3 0 4 0
14672 1 0 6 0
15261 4 1 2 0
13560 1 1 4 0
14187 3 0 2 0
12927 1 1 2 0
14811 1 0 4 0
15776 2 0 4 0
14897 1 1 3 0
15169 0 0 7 0
15985 1 1 7 0
14333 1 0 5 0
13040 2 0 3 0
11786 1 1 3 0
15987 2 0 4 0
12984 2 1 3 0
15507 2 0 3 0
16258 1 1 2 0
13280 0 1 2 0
16164 4 1 5 0
14618 0 3 4 0
15368 1 0 2 0
15493 1 1 2 0
15571 0 1 4 0
14789 0 0 6 0
13127 1 0 2 0
16219 1 0 5 0
15462 1 2 3 0
15031 1 1 4 0
15599 1 0 3 0
15523 0 2 2 0
15692 2 1 5 0
15725 2 0 3 0
15639 2 1 2 0
15994 1 0 6 0
15840 0 0 2 0
15797 0 0 4 0
14658 2 0 3 0
15614 1 2 3 0
15265 0 1 2 0
13593 1 0 1 0
15806 1 2 7 0
15726 1 0 5 0
15831 1 4 4 0
15664 2 2 3 0
16253 1 0 4 0
16001 0 1 5 0
15647 3 0 3 0
14534 1 1 3 0
15542 1 1 3 0
16004 1 0 2 0
15271 1 0 8 0
16005 0 2 2 0
15270 2 3 1 0
13862 0 1 2 0
15746 1 0 2 0
15820 2 2 4 0
15584 1 0 4 0
10169 0 0 1 0
15556 1 2 4 0
15844 1 1 3 0
16212 1 0 7 0
15376 0 2 4 0
15564 1 2 3 0
15637 2 0 4 0
16018 1 1 3 0
14573 2 0 5 0
16020 2 1 3 0
14553 3 0 4 0
15463 1 1 4 0
14806 2 2 1 0
15536 0 1 4 0
13040 2 0 3 0
14519 1 0 6 0
14350 0 0 5 0
16023 1 1 3 0
15619 1 1 2 0
15117 1 1 6 0
15046 1 1 2 0
14988 3 0 3 0
16026 2 0 3 0
15726 1 0 5 0
12478 3 1 1 0
15777 0 2 2 0
15864 1 0 2 0
16027 0 3 4 0
15838 1 1 2 0
13863 0 1 4 0
13892 2 2 4 0
11395 0 0 3 0
15588 0 2 3 0
13862 0 1 2 0
13892 2 2 4 0
11710 0 0 4 0
14493 1 0 2 0
13697 1 1 4 0
16214 2 0 8 0
12589 0 0 3 0
16039 2 1 5 0
14519 1 0 6 0
15203 1 0 6 0
16041 2 0 5 0
15491 1 0 5 0
15819 3 0 4 0
12885 1 0 2 0
10213 0 0 2 0
15852 1 1 2 0
15209 1 0 7 0
14898 0 1 3 0
15017 3 0 4 0
15269 1 0 3 0
14572 1 0 5 0
13297 3 0 2 0
15629 3 1 5 0
15821 1 3 4 0
12189 1 0 2 0
12928 2 0 3 0
15493 1 1 2 0
15331 0 2 4 0
15571 0 1 4 0
13040 2 0 3 0
15036 3 1 5 0
11775 1 0 2 0
16049 1 0 2 0
14583 1 0 3 0
14682 1 1 2 0
16052 2 0 4 0
10169 0 0 1 0
15014 1 0 7 0
14952 0 0 6 0
14325 1 0 2 0
15499 1 0 5 0
15063 0 0 7 0
16057 3 0 4 0
14001 1 0 2 0
15271 1 0 8 0
14929 3 2 5 0
14806 2 2 1 0
12670 1 0 4 0
13621 0 2 1 0
14916 1 0 3 0
14583 1 0 3 0
15313 0 1 3 0
14333 1 0 5 0
14946 2 1 3 0
11395 0 0 3 0
15670 1 1 4 0
15876 5 2 4 0
12928 2 0 3 0
14451 1 1 3 0
15160 2 0 7 0
16067 1 1 4 0
14044 2 0 4 0
16068 1 0 5 0
14898 0 1 3 0
10002 0 0 1 0
14991 2 0 4 0
16070 2 1 6 0
16071 3 1 4 0
15261 4 1 2 0
13560 1 1 4 0
14126 2 1 3 0
16073 2 2 4 0
16256 3 2 4 0
12620 1 0 4 0
15470 3 1 1 0
14935 2 0 4 0
15839 2 0 4 0
15259 1 2 3 0
13697 1 1 4 0
12313 1 0 3 0
15151 3 0 4 0
14604 1 1 3 0
15664 2 2 3 0
15923 0 1 4 0
16082 1 0 1 0
15627 1 0 3 0
13648 1 1 3 0
15100 1 0 3 0
15120 2 1 2 0
12670 1 0 4 0
16085 1 2 3 0
16086 2 4 2 0
11710 0 0 4 0
15888 1 0 3 0
15502 2 1 2 0
15064 2 1 2 0
13388 0 1 3 0
14794 1 1 5 0
14966 1 3 6 0
15577 0 2 3 0
14620 1 1 3 0
15604 0 1 3 0
15669 0 1 4 0
11179 0 1 2 0
14229 0 0 3 0
16091 2 0 5 0
14237 1 2 2 0
15889 2 1 3 0
12189 1 0 2 0
15861 1 0 6 0
15873 2 0 4 0
14076 0 1 3 0
12313 1 0 3 0
15389 3 1 3 0
15767 1 2 4 0
15483 2 1 6 0
15928 3 0 8 0
13903 2 0 1 0
15012 2 0 2 0
13992 2 0 2 0
14735 1 0 7 0
15857 0 2 3 0
15066 3 0 5 0
14991 2 0 4 0
12189 1 0 2 0
15160 2 0 7 0
14937 2 1 3 0
16098 3 2 2 0
13892 2 2 4 0
14800 1 1 4 0
14819 0 1 6 0
15338 2 0 2 0
16100 1 0 6 0
10169 0 0 1 0
14519 1 0 6 0
14991 2 0 4 0
12620 1 0 4 0
15687 1 0 5 0
11785 0 0 1 0
10734 0 0 1 0
15481 1 1 6 0
14991 2 0 4 0
14044 2 0 4 0
16107 3 0 4 0
16110 1 1 6 0
15808 2 0 4 0
15753 3 2 6 0
14705 1 0 3 0
15630 0 1 2 0
15160 2 0 7 0
15745 2 0 5 0
14131 0 1 3 0
16115 1 0 5 0
16116 1 1 4 0
16118 1 0 6 0
15360 2 1 6 0
16122 2 1 3 0
15912 1 0 3 0
15728 3 2 3 0
16124 1 1 6 0
14812 1 0 4 0
12620 1 0 4 0
15694 3 1 2 0
14350 0 0 5 0
12670 1 0 4 0
14988 3 0 3 0
13697 1 1 4 0
15874 1 1 4 0
15698 0 1 1 0
15793 0 0 3 0
15747 1 0 7 0
15644 1 1 6 0
13871 1 0 6 0
15757 2 0 6 0
15944 0 0 3 0
16126 4 2 5 0
15393 1 0 1 0
10169 0 0 1 0
14157 1 0 1 0
14766 1 0 3 0
13062 0 0 3 0
14771 2 0 1 0
15798 2 1 3 0
16130 2 0 2 0
15690 3 0 5 0
16133 1 1 8 0
12670 1 0 4 0
15893 2 0 5 0
12670 1 0 4 0
13899 2 0 3 0
14333 1 0 5 0
15205 2 2 3 0
16137 0 3 4 0
15700 1 1 7 0
16140 0 2 1 0
16141 0 4 4 0
15837 2 3 3 0
15140 1 0 6 0
15582 4 1 3 0
